id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1234448616766439424,1234448616766439424,1583150459000,2020-03-02,12:00:59,GMT,180518824,1100berlin,IckeAusBerlin 🛡️ 🇩🇪 💙,,@DerWahreErich #coronavirus  pic.twitter.com/sObxNZPFYB,['derwahreerich'],[],['https://pbs.twimg.com/media/ESGkeQrWoAAQhuM.jpg'],0,0,1,['#coronavirus'],[],https://twitter.com/1100Berlin/status/1234448616766439424,False,,0,,,,,,,"[{'user_id': '180518824', 'username': '1100Berlin'}, {'user_id': '2235928729', 'username': 'DerWahreErich'}]",,,,
1234448615470436352,1234448615470436352,1583150459000,2020-03-02,12:00:59,GMT,832731336,allthewaytech,Outer Space,,"This is not looking good for China

Coronavirus Could Be The End Of China As Global Manufacturing Hub -
  https://www.forbes.com/sites/kenrapoza/2020/03/01/coronavirus-could-be-the-end-of-china-as-global-manufacturing-hub/ …
#China #Coronavirus",[],['https://www.forbes.com/sites/kenrapoza/2020/03/01/coronavirus-could-be-the-end-of-china-as-global-manufacturing-hub/'],[],0,0,0,"['#china', '#coronavirus']",[],https://twitter.com/Allthewaytech/status/1234448615470436352,False,,0,,,,,,,"[{'user_id': '832731336', 'username': 'Allthewaytech'}]",,,,
1234448615353044992,1234258510612959236,1583150459000,2020-03-02,12:00:59,GMT,1188864209951580161,estoyhastaelja1,Guerrera Samurai,,"jajaJaja,  en todo busco el sentido del humor o la vida seria un valle de lágrimas.  Y si estoy hasta el moño del coronavirus lo estoy. Además un programa que ha sido absolutamente desfasado. Si veo el programa cuando puedo es por el misterio. Y chica, cualquiera diría q te pagan",['ilisiabrongar'],[],[],0,0,0,[],[],https://twitter.com/estoyhastaelja1/status/1234448615353044992,False,,0,,,,,,,"[{'user_id': '1188864209951580161', 'username': 'estoyhastaelja1'}, {'user_id': '2475314946', 'username': 'IlisiaBrongar'}]",,,,
1234448615348764673,1234448615348764673,1583150459000,2020-03-02,12:00:59,GMT,1141321948485623808,janedoe80334135,Jane Doe,,"A sign on a large easel discourages visitors from coming to the EvergreenHealth Kirkland Campus due to coronavirus concerns, one person however, behaved quite stereotypically:
An elderly man in a baseball cap waved it away and walked in, saying, “I don’t care.”",[],[],[],0,0,1,[],[],https://twitter.com/JaneDoe80334135/status/1234448615348764673,False,,0,,,,,,,"[{'user_id': '1141321948485623808', 'username': 'JaneDoe80334135'}]",,,,
1234448614807736320,1234448614807736320,1583150459000,2020-03-02,12:00:59,GMT,854957677490733057,iamchukslyon9,Mazi Chuks Lyon Anthony,,Nigerian Professor Claims He Has ‘discovered’ The Cure For Coronavirus And Lassa Fever  https://www.chukslyonews.com/2020/03/02/nigerian-professor-claims-he-has-discovered-the-cure-for-coronavirus-and-lassa-fever/ … pic.twitter.com/tlb8UhE9Rb,[],['https://www.chukslyonews.com/2020/03/02/nigerian-professor-claims-he-has-discovered-the-cure-for-coronavirus-and-lassa-fever/'],['https://pbs.twimg.com/media/ESGkeTUXUAA-URJ.jpg'],0,0,0,[],[],https://twitter.com/Iamchukslyon9/status/1234448614807736320,False,,0,,,,,,,"[{'user_id': '854957677490733057', 'username': 'Iamchukslyon9'}]",,,,
1234448614178590720,1234448614178590720,1583150459000,2020-03-02,12:00:59,GMT,3212643651,ukinvestormag,UK Investor Magazine,,"Finablr warn that results could be affected by coronavirus and malware attack

 https://ukinvestormagazine.co.uk/finablr-warn-that-results-could-be-affected-by-coronavirus-and-malware-attack/ …",[],['https://ukinvestormagazine.co.uk/finablr-warn-that-results-could-be-affected-by-coronavirus-and-malware-attack/'],[],0,0,0,[],[],https://twitter.com/UKInvestorMAG/status/1234448614178590720,False,,0,,,,,,,"[{'user_id': '3212643651', 'username': 'UKInvestorMAG'}]",,,,
1234448613323018247,1234448613323018247,1583150459000,2020-03-02,12:00:59,GMT,719840836306018304,trackpersia,Track Persia,,"Iraq's protests, economy, popular sentiment impacted by coronavirus from Iran -  http://www.trackpersia.com/iraqs-protests-economy-popular-sentiment-impacted-coronavirus-iran/ …",[],['http://www.trackpersia.com/iraqs-protests-economy-popular-sentiment-impacted-coronavirus-iran/'],[],0,8,7,[],[],https://twitter.com/TrackPersia/status/1234448613323018247,False,,0,,,,,,,"[{'user_id': '719840836306018304', 'username': 'TrackPersia'}]",,,,
1234448613176160256,1234448613176160256,1583150458000,2020-03-02,12:00:58,GMT,137354094,uhmallorca,Ultima Hora Mallorca,,La OCDE insta a su personal a una cuarentena de 14 días si ha viajado a zonas de «alto riesgo» de coronavirus  https://www.ultimahora.es/noticias/internacional/2020/03/02/1145611/ultima-hora-del-coronavirus.html … pic.twitter.com/bcIxfJ7C4U,[],['https://www.ultimahora.es/noticias/internacional/2020/03/02/1145611/ultima-hora-del-coronavirus.html'],['https://pbs.twimg.com/media/ESGkcyVWkAAdnPT.jpg'],0,0,0,[],[],https://twitter.com/UHmallorca/status/1234448613176160256,False,,0,,,,,,,"[{'user_id': '137354094', 'username': 'UHmallorca'}]",,,,
1234448612777656320,1234445501631733762,1583150458000,2020-03-02,12:00:58,GMT,81356296,fioruchi,fior morillo,,"Es cruel lo que pienso, pero el Gobierno y los de la Junta deben estar feliz, que el tema del Coronavirus le baje la presión a las demandas de aclarar el fraude de la Junta Central.","['esmeraldabello', 'manuelriveraaza']",[],[],0,0,1,[],[],https://twitter.com/fioruchi/status/1234448612777656320,False,,0,,,,,,,"[{'user_id': '81356296', 'username': 'fioruchi'}, {'user_id': '133810510', 'username': 'EsmeraldaBello'}, {'user_id': '225842480', 'username': 'manuelriveraaza'}]",,,,
1234448612370763776,1234448612370763776,1583150458000,2020-03-02,12:00:58,GMT,1072722930209980418,christiannerdy,Christian And Nerdy,,"Amazon removes 1 million products claiming to cure coronavirus
The retailer also reportedly takes down thousands of listings from sellers it says were price gouging.

#coronavirus #amazon https://www.cnet.com/news/amazon-removed-1-million-products-claiming-to-cure-coronavirus/?ServiceType=facebook_page&UniqueID=C3A42AD0-5A8D-11EA-9B47-E39FFCA12A29&ftag=COS-05-10aaa0a&TheTime=2020-02-29T00%3A52%3A30&PostType=link&fbclid=IwAR1hdlKPqbDpy73WhjHuxf7q9SU9UCWVxc9RqwPx5qHUVLVbSfJqOlBUFlY …",[],['https://www.cnet.com/news/amazon-removed-1-million-products-claiming-to-cure-coronavirus/?ServiceType=facebook_page&UniqueID=C3A42AD0-5A8D-11EA-9B47-E39FFCA12A29&ftag=COS-05-10aaa0a&TheTime=2020-02-29T00%3A52%3A30&PostType=link&fbclid=IwAR1hdlKPqbDpy73WhjHuxf7q9SU9UCWVxc9RqwPx5qHUVLVbSfJqOlBUFlY'],[],0,0,0,"['#coronavirus', '#amazon']",[],https://twitter.com/christiannerdy/status/1234448612370763776,False,,0,,,,,,,"[{'user_id': '1072722930209980418', 'username': 'christiannerdy'}]",,,,
